,date,open,high,low,close,volume
0,2020-11-09 10:15:00,555.5,556.9,555.35,556.55,21523
1,2020-11-09 10:20:00,556.6,557.7,556.05,557.6,19247
2,2020-11-09 10:25:00,557.55,558.65,557.55,558.0,2485
