Date,Open,High,Low,Close,Adj Close,Volume
7/17/2015,8623.650391,8642.950195,8593.150391,8609.849609,8609.849609,105000
7/20/2015,8623.900391,8624.099609,8559,8603.450195,8603.450195,90600
7/21/2015,8601.5,8646.75,8517.900391,8529.450195,8529.450195,164100
7/22/2015,8512.25,8643.900391,8498.650391,8633.5,8633.5,136800
7/23/2015,8643.950195,8654.75,8573.799805,8589.799805,8589.799805,132900
7/24/2015,8588.150391,8589.150391,8513.5,8521.549805,8521.549805,127400
7/27/2015,8492.099609,8492.200195,8351.549805,8361,8361,136600
7/28/2015,8371.099609,8397.400391,8321.75,8337,8337,174600
7/29/2015,8365.599609,8381.5,8338.450195,8375.049805,8375.049805,141000
7/30/2015,8417,8458.900391,8408.299805,8421.799805,8421.799805,215200
7/31/2015,8456.099609,8548.950195,8448,8532.849609,8532.849609,203300
8/3/2015,8510.650391,8563.950195,8508.099609,8543.049805,8543.049805,156700
8/4/2015,8564.099609,8565.150391,8448.25,8516.900391,8516.900391,187400
8/5/2015,8547.450195,8591.849609,8545.849609,8567.950195,8567.950195,132800
8/6/2015,8585.799805,8606.299805,8551.5,8588.650391,8588.650391,134900
8/7/2015,8580.799805,8595.950195,8552.700195,8564.599609,8564.599609,143700
8/10/2015,8577,8621.549805,8497.799805,8525.599609,8525.599609,123400
8/11/2015,8548.450195,8556.25,8441.299805,8462.349609,8462.349609,154400
8/12/2015,8445.700195,8446.950195,8337.950195,8349.450195,8349.450195,190000
8/13/2015,8384.450195,8429.5,8339.75,8355.849609,8355.849609,189200
8/14/2015,8402.349609,8530.099609,8381.200195,8518.549805,8518.549805,155900
8/17/2015,8530.5,8530.599609,8428.049805,8477.299805,8477.299805,174700
8/18/2015,8505.849609,8525.75,8433.599609,8466.549805,8466.549805,153300
8/19/2015,8468.049805,8520.450195,8425.950195,8495.150391,8495.150391,130500
8/20/2015,8471.049805,8501.349609,8359.75,8372.75,8372.75,184100
8/21/2015,8305.400391,8322.200195,8225.049805,8299.950195,8299.950195,201300
8/24/2015,8055.950195,8060.049805,7769.399902,7809,7809,312400
8/25/2015,7895.399902,7925.399902,7667.25,7880.700195,7880.700195,299100
8/26/2015,7865.25,7930.049805,7777.100098,7791.850098,7791.850098,216600
8/27/2015,7921.600098,7963.600098,7862.299805,7948.950195,7948.950195,305000
8/28/2015,8053.700195,8091.799805,7961.649902,8001.950195,8001.950195,195600
8/31/2015,8009.25,8043.600098,7947.950195,7971.299805,7971.299805,198200
9/1/2015,7907.950195,7929.100098,7746.5,7785.850098,7785.850098,184900
9/2/2015,7856.649902,7862.549805,7699.25,7717,7717,215300
9/3/2015,7774.450195,7845.600098,7754.049805,7823,7823,155800
9/4/2015,7803.399902,7804.899902,7626.850098,7655.049805,7655.049805,193600
9/7/2015,7685.850098,7705.049805,7545.899902,7558.799805,7558.799805,141400
9/8/2015,7587.700195,7720.899902,7539.5,7688.25,7688.25,172200
9/9/2015,7805.850098,7846.049805,7764.549805,7818.600098,7818.600098,208400
9/10/2015,7729.049805,7819.850098,7678.5,7788.100098,7788.100098,160300
9/11/2015,7833.799805,7864.850098,7759.899902,7789.299805,7789.299805,136400
9/14/2015,7811.100098,7879.950195,7761.850098,7872.25,7872.25,122800
9/15/2015,7867.350098,7880,7799.75,7829.100098,7829.100098,136500
9/16/2015,7886.850098,7913.899902,7853.299805,7899.149902,7899.149902,140000
9/18/2015,7967.450195,8055,7955.850098,7981.899902,7981.899902,241800
9/21/2015,7911.5,7987.899902,7908.350098,7977.100098,7977.100098,121800
9/22/2015,8014.799805,8021.600098,7787.75,7812,7812,168400
9/23/2015,7737.350098,7882.899902,7723.25,7845.950195,7845.950195,146700
9/24/2015,7838.399902,7894.5,7804.100098,7868.5,7868.5,202500
9/28/2015,7892.799805,7893.950195,7787.950195,7795.700195,7795.700195,136300
9/29/2015,7725.700195,7926.549805,7691.200195,7843.299805,7843.299805,240700
