date,open,high,low,close,volume,pivot,r1,signal,ret,cap
2019-11-04,2209.0,2229.2,2180.95,2194.1,4374.6,2225.633333333333,2336.2,,0.0,
2019-11-05,2193.95,2211.0,2169.0,2198.0,4041.2933333333335,2201.4166666666665,2270.3166666666666,,0.0,100000.0
2019-11-06,2201.05,2210.8,2179.0,2190.8,4580.013333333333,2192.6666666666665,2233.833333333333,,0.0,100000.0
2019-11-07,2200.0,2204.0,2175.3,2185.0,3875.8933333333334,2193.5333333333333,2206.333333333333,,0.0,100000.0
2019-11-08,2186.0,2187.95,2124.65,2129.95,5180.373333333333,2188.1,2211.7666666666664,,0.0,100000.0
2019-11-11,2135.05,2135.05,2091.0,2100.9,4411.573333333334,2147.516666666667,2251.5499999999997,,0.0,100000.0
2019-11-13,2120.15,2182.9,2119.0,2179.0,4055.8133333333335,2108.9833333333336,2204.0333333333338,,0.0,100000.0
2019-11-14,2188.0,2199.8,2147.9,2190.0,4364.213333333333,2160.2999999999997,2098.966666666667,,-1008.0000000000041,98992.0
2019-11-15,2194.0,2211.5,2169.5,2171.5,4434.12,2179.2333333333336,2172.6999999999994,,-1005.0,98995.0
2019-11-18,2178.1,2187.7,2149.15,2151.0,3275.76,2184.1666666666665,2188.966666666667,,0.0,100000.0
2019-11-19,2153.0,2154.35,2105.0,2109.3,5060.306666666666,2162.616666666667,2219.183333333333,,0.0,100000.0
2019-11-20,2121.25,2135.0,2094.5,2108.0,4859.546666666667,2122.8833333333337,2220.2333333333336,,0.0,100000.0
2019-11-21,2111.95,2126.5,2108.2,2117.4,4412.946666666667,2112.5,2151.2666666666673,,0.0,100000.0
2019-11-22,2096.95,2106.6,2060.5,2067.15,4553.466666666666,2117.366666666667,2116.8,,0.0,100000.0
2019-11-25,2074.95,2084.95,2052.2,2084.0,4572.573333333334,2078.0833333333335,2174.2333333333336,,0.0,100000.0
2019-11-26,2089.75,2097.9,2035.55,2046.0,5972.573333333334,2073.7166666666667,2103.966666666667,,0.0,100000.0
2019-11-27,2053.0,2071.7,2046.7,2055.0,3262.8133333333335,2059.8166666666666,2111.883333333333,,0.0,100000.0
2019-11-28,2067.05,2093.5,2060.15,2075.9,3861.3866666666668,2057.7999999999997,2072.9333333333334,,-368.8999999999969,99631.1
2019-11-29,2082.5,2084.25,2046.2,2051.65,3833.7466666666664,2076.5166666666664,2055.4499999999994,,0.0,100000.0
2019-12-02,2060.0,2067.65,2016.1,2021.0,5460.213333333333,2060.7000000000003,2106.833333333333,,0.0,100000.0
2019-12-03,2027.7,2062.0,2010.0,2051.0,6768.973333333333,2034.9166666666667,2105.3000000000006,,0.0,100000.0
2019-12-04,2050.1,2081.95,2045.7,2077.0,4275.093333333333,2041.0,2059.8333333333335,,61.050000000003365,100061.05
2019-12-05,2082.0,2126.6,2068.8,2121.65,4742.52,2068.2166666666667,2036.3,,2065.0,102065.0
2019-12-06,2121.3,2126.85,2101.05,2123.0,4273.44,2105.683333333333,2067.633333333333,,-129.1499999999828,99870.85000000002
2019-12-09,2127.9,2127.9,2054.0,2060.0,4800.52,2116.9666666666667,2110.3166666666657,,0.0,100000.0
2019-12-10,2060.45,2060.45,2005.2,2016.25,5434.7733333333335,2080.633333333333,2179.9333333333334,,0.0,100000.0
2019-12-11,2025.1,2048.0,2011.05,2040.0,5374.866666666667,2027.3,2156.0666666666666,,0.0,100000.0
2019-12-12,2051.1,2083.5,1986.35,2004.0,5384.586666666667,2033.0166666666667,2043.55,,0.0,100000.0
2019-12-13,2020.9,2077.2,2007.5,2070.0,5807.1866666666665,2024.6166666666668,2079.6833333333334,,0.0,100000.0
2019-12-16,2085.05,2136.0,2081.2,2130.0,6697.786666666667,2051.5666666666666,2041.7333333333336,,1596.0,101596.0
2019-12-17,2126.75,2168.9,2119.15,2168.5,6030.333333333333,2115.733333333333,2021.9333333333334,,878.0000000000109,100878.00000000001
2019-12-18,2170.15,2203.4,2153.0,2165.3,7645.786666666667,2152.1833333333334,2112.316666666666,,-998.25,99001.75
2019-12-19,2179.8,2235.9,2169.65,2231.7,7099.32,2173.9,2151.366666666667,,963.8999999999969,100963.9
2019-12-20,2220.1,2246.5,2210.4,2220.0,5711.093333333333,2212.4166666666665,2178.15,,-998.5499999999943,99001.45000000001
2019-12-23,2212.9,2241.9,2212.9,2236.0,3596.68,2225.633333333333,2214.433333333333,,0.0,100000.0
2019-12-24,2236.05,2243.55,2211.15,2216.0,3999.133333333333,2230.266666666667,2238.3666666666663,,0.0,100000.0
2019-12-26,2216.65,2228.7,2198.2,2203.0,4002.9866666666667,2223.566666666667,2249.3833333333337,,0.0,100000.0
2019-12-27,2212.9,2216.5,2178.5,2208.7,4214.506666666667,2209.9666666666667,2248.9333333333343,,0.0,100000.0
2019-12-30,2207.0,2224.85,2177.1,2184.15,4075.52,2201.233333333333,2241.4333333333334,,0.0,100000.0
2019-12-31,2188.4,2196.7,2158.2,2165.0,4229.506666666667,2195.366666666667,2225.3666666666663,,0.0,100000.0
2020-01-02,2178.0,2178.0,2149.8,2157.0,4323.8133333333335,2173.2999999999997,2232.5333333333338,,0.0,100000.0
2020-01-03,2166.0,2222.75,2164.1,2201.0,6216.173333333333,2161.6,2196.7999999999993,,-1003.1999999999948,98996.8
2020-01-06,2205.05,2225.0,2188.1,2201.35,4225.653333333334,2195.9500000000003,2159.1,,0.0,100000.0
2020-01-07,2199.95,2214.6,2183.9,2205.0,3524.28,2204.816666666667,2203.8000000000006,,-361.899999999986,99638.10000000002
2020-01-08,2205.0,2259.45,2202.15,2253.35,5904.08,2201.1666666666665,2225.733333333334,,3011.999999999989,103011.99999999999
2020-01-09,2245.0,2251.35,2210.2,2220.0,5054.72,2238.316666666667,2200.183333333333,,0.0,100000.0
2020-01-10,2227.35,2233.05,2208.0,2213.0,3533.693333333333,2227.183333333333,2266.4333333333343,,0.0,100000.0
2020-01-13,2217.0,2217.75,2185.55,2193.0,4664.1466666666665,2218.016666666667,2246.366666666666,,0.0,100000.0
2020-01-14,2197.65,2229.8,2197.65,2210.0,4540.8,2198.766666666667,2250.4833333333336,,0.0,100000.0
2020-01-15,2212.95,2231.0,2194.4,2224.0,4350.44,2212.4833333333336,2199.8833333333337,,713.3999999999851,100713.39999999998
2020-01-16,2226.95,2249.0,2219.95,2240.0,4664.453333333333,2216.4666666666667,2230.566666666667,,-999.0000000000123,99000.99999999999
2020-01-17,2240.75,2253.5,2213.0,2220.0,5049.293333333333,2236.3166666666666,2212.9833333333336,,0.0,100000.0
