2017-07-21, Close, 1164.53
2017-07-21, BUY CREATE, 1164.53
2017-07-24, BUY EXECUTED, Price: 1163.50, Cost: 100000.00, Comm 200.00
2017-07-24, Close, 1186.32
2017-07-24, SELL EXIT, 1186.32
2017-07-25, SELL EXECUTED, Price: 1184.01, Cost: 100000.00, Comm 200.00
2017-07-25, OPERATION PROFIT, GROSS 1538.25, NET 1138.25
2017-07-25, Close, 1205.45
2017-07-26, Close, 1198.19
2017-07-27, Close, 1163.35
2017-07-27, BUY CREATE, 1163.35
2017-07-28, BUY EXECUTED, Price: 1163.03, Cost: 100000.00, Comm 200.00
2017-07-28, Close, 1164.57
2017-07-28, SELL EXIT, 1164.57
2017-07-31, SELL EXECUTED, Price: 1158.34, Cost: 100000.00, Comm 200.00
2017-07-31, OPERATION PROFIT, GROSS -351.75, NET -751.75
2017-07-31, Close, 1168.09
2017-08-01, Close, 1172.70
2017-08-01, BUY CREATE, 1172.70
2017-08-02, BUY EXECUTED, Price: 1171.93, Cost: 100000.00, Comm 200.00
2017-08-02, Close, 1159.65
2017-08-02, SELL EXIT, 1159.65
2017-08-03, SELL EXECUTED, Price: 1162.56, Cost: 100000.00, Comm 200.00
2017-08-03, OPERATION PROFIT, GROSS -702.75, NET -1102.75
2017-08-03, Close, 1166.98
2017-08-04, Close, 1182.62
2017-08-07, Close, 1173.55
2017-08-08, Close, 1173.37
2017-08-09, Close, 1177.56
2017-08-10, Close, 1177.30
2017-08-11, Close, 1170.09
2017-08-14, Close, 1157.59
2017-08-16, Close, 1168.35
2017-08-17, Close, 1165.20
2017-08-18, Close, 1178.40
2017-08-21, Close, 1185.43
2017-08-22, Close, 1170.79
2017-08-23, Close, 1166.98
2017-08-24, Close, 1170.34
2017-08-28, Close, 1165.98
2017-08-29, Close, 1158.27
2017-08-30, Close, 1164.70
2017-08-31, Close, 1170.23
2017-09-01, Close, 1151.51
2017-09-04, Close, 1151.40
2017-09-05, Close, 1164.60
2017-09-06, Close, 1149.99
2017-09-07, Close, 1153.23
2017-09-08, Close, 1158.15
2017-09-11, Close, 1150.58
2017-09-12, Close, 1166.51
2017-09-13, Close, 1166.87
2017-09-14, Close, 1165.81
2017-09-15, Close, 1174.77
2017-09-15, BUY CREATE, 1174.77
2017-09-18, BUY EXECUTED, Price: 1174.25, Cost: 100000.00, Comm 200.00
2017-09-18, Close, 1171.49
2017-09-18, SELL EXIT, 1171.49
2017-09-19, SELL EXECUTED, Price: 1174.28, Cost: 100000.00, Comm 200.00
2017-09-19, OPERATION PROFIT, GROSS 2.25, NET -397.75
2017-09-19, Close, 1171.11
2017-09-20, Close, 1168.91
2017-09-21, Close, 1183.61
2017-09-22, Close, 1173.62
2017-09-25, Close, 1176.98
2017-09-26, Close, 1160.05
